cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
Qualcomm SA8195P,1,8,,"5,348",,"1,635",,,,Mar 2025,Unknown,Mobile/Embedded
Qualcomm SM6375,1,8,,"4,713",,"2,001",,,,Mar 2025,Unknown,Mobile/Embedded
Rockchip RK3566 RK817 EINK LP4X Board,1,4,,667,,446,,,,Mar 2025,Unknown,Mobile/Embedded
Samsung s5e8855,1,8,,"7,654",,"2,418",,,,Mar 2025,Unknown,Mobile/Embedded
AMD BC 250,1,6,,"13,201",,"2,115",,220,60.01,Feb 2025,Unknown,Unknown
AMD EPYC 9115,1,16,726.00,"49,416",68.07,"3,377",4.65,125,395.33,Feb 2025,SP5,Server
AMD EPYC 9555P,1,64,7983.00,"135,513",16.98,"3,726",0.47,360,376.42,Feb 2025,SP5,Server
AMD EPYC 9V74,1,80,,"117,606",,"2,888",,400,294.02,Feb 2025,SP5,Server
AMD Ryzen 3 PRO 5355GE,1,4,,"12,761",,"3,089",,35,364.61,Feb 2025,AM4,Desktop
AMD Ryzen 5 230,1,6,,"21,009",,"3,490",,28,750.34,Feb 2025,FP8,"Desktop, Laptop"
AMD Ryzen 7 250,1,8,,"23,897",,"3,719",,28,853.45,Feb 2025,FP8,Desktop
AMD Ryzen 7 5825C,1,8,,"14,561",,"2,645",,15,970.75,Feb 2025,FP6,Mobile/Embedded
AMD Ryzen 7 PRO 5755GE,1,8,,"20,894",,"3,355",,35,596.96,Feb 2025,AM4,Desktop
AMD Ryzen AI 7 PRO 350,1,8,,"24,220",,"3,957",,28,865.02,Feb 2025,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX PRO 370,1,12,,"31,425",,"3,952",,28,"1,122.32",Feb 2025,FP8,"Desktop, Laptop"
ARM Cortex A55 4 Core 2000 MHz,1,4,,711,,320,,,,Feb 2025,Unknown,Unknown
ARM Cortex A715 4 Core 2200 MHz,1,4,,"3,432",,"1,461",,,,Feb 2025,Unknown,Unknown
Hygon C86 3330 4 core,1,4,,"6,031",,"1,702",,35,172.32,Feb 2025,Unknown,Desktop
Intel Atom x7211E,1,2,39.00,"2,553",65.47,"1,434",36.78,6,425.54,Feb 2025,FCBGA1264,Mobile/Embedded
Intel Core 5 220H,1,12,,"21,268",,"3,120",,45,472.62,Feb 2025,FCBGA1744,Laptop
Intel Core 7 240H,1,10,,"24,606",,"3,850",,45,546.80,Feb 2025,FCBGA1744,Mobile/Embedded
Intel Core 7 250H,1,14,,"25,655",,"4,114",,45,570.12,Feb 2025,FCBGA1744,Laptop
Intel Core i5 1345UE,1,10,312.00,"10,312",33.05,"2,697",8.65,15,687.48,Feb 2025,FCBGA1744,Mobile/Embedded
[Dual CPU] Intel Core i7 5960X @ 3.50GHz,2,8,,"20,781",,"1,663",,140,,Feb 2025,FCLGA2011,Desktop
Intel Core Ultra 5 225H,1,14,,"29,204",,"4,365",,28,"1,042.99",Feb 2025,FCBGA2049,Laptop
Intel Core Ultra 5 225U,1,12,,"18,824",,"3,630",,15,"1,254.96",Feb 2025,FCBGA2049,Laptop
Intel Core Ultra 5 235,1,14,264.99,"40,192",151.67,"4,542",17.14,65,618.34,Feb 2025,FCLGA1851,Desktop
Intel Core Ultra 7 255U,1,12,,"18,545",,"3,734",,15,"1,236.33",Feb 2025,FCBGA2049,"Laptop, Mobile/Embedded"
Intel Core Ultra 9 275HX,1,24,,"56,415",,"4,727",,55,"1,025.73",Feb 2025,FCBGA2114,Laptop
Intel Core Ultra 9 285T,1,24,549.00,"36,940",67.29,"4,775",8.70,35,"1,055.44",Feb 2025,FCLGA1851,Desktop
Intel Xeon D 1823NT @ 2.80GHz,1,6,436.00,"13,673",31.36,"2,429",5.57,55,248.60,Feb 2025,FCBGA2227,Server
Intel Xeon Gold 5215 @ 2.20GHz,1,10,1424.00,"16,304",11.45,"2,101",1.48,85,191.81,Feb 2025,FCLGA3647,Server
Mediatek Dimensity 9400  MT6991 ,1,8,,"12,506",,"3,022",,,,Feb 2025,Unknown,Mobile/Embedded
Mediatek MT6769V CB,1,8,,"2,652",,"1,100",,,,Feb 2025,Unknown,Mobile/Embedded
QTI QCS4490,1,8,,"5,179",,"2,191",,,,Feb 2025,Unknown,Mobile/Embedded
QTI SM4250,1,8,,"2,631",,802,,,,Feb 2025,Unknown,Mobile/Embedded
