videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
Radeon 680M,,"4,593",,793,,,,Dec 2024,Unknown
Radeon 660M,,"3,280",,648,,,,Dec 2024,Mobile
Meta Virtual Monitor,,"21,467",,"1,138",,,,Dec 2024,Unknown
Intel Arc B580,249.00,"15,748",63.24,709,190,82.88,12288,Dec 2024,Desktop
GRID RTX6000 2Q,,656,,89,,,,Dec 2024,Desktop
Fresco Logic IDDCX Adapter,,"1,276",,288,,,,Dec 2024,Unknown
A10 12Q,,"9,493",,627,,,,Dec 2024,Desktop
Ryzen 7 9800X3D 8 Core Processor,,"1,830",,630,,,,Nov 2024,Unknown
RTX A500 Embedded GPU,,"5,405",,299,,,,Nov 2024,Desktop
Radeon Ryzen 7 6810U,,"5,937",,897,,,,Nov 2024,Desktop
Radeon Ryzen 5 PRO 5655G,,"2,504",,793,,,,Nov 2024,Desktop
Radeon RX 6600 LE,,"15,582",,"1,036",,,,Nov 2024,Unknown
Radeon RX 6300M,,"6,421",,384,,,,Nov 2024,Mobile
Radeon Pro W6800X Duo,,"15,557",,702,,,,Nov 2024,Desktop
Radeon 610M Ryzen 9 7940HX,,"1,560",,520,,,,Nov 2024,Mobile
P102 100,,"2,911",,129,,,,Nov 2024,Desktop
L40 6Q,,"4,718",,94,,,,Nov 2024,Desktop
Intel Arc 140T,,"5,635",,688,,,,Nov 2024,Desktop
Eng Sample: 100 000000560 40_Y,,"5,656",,771,,,,Nov 2024,Unknown
ZX C 960,,65,,104,,,,Oct 2024,Desktop
Radeon Vega 3 Ryzen Embedded R1606G,,857,,289,,,,Oct 2024,Desktop
Lebo Virtual USB Monitor,,"1,790",,398,,,,Oct 2024,Unknown
Intel Arc 130V GPU,,"4,599",,623,,,,Oct 2024,Desktop
GRID RTX8000P 4Q,,"5,174",,87,,,,Oct 2024,Desktop
A16 16A,,"1,069",,38,,,,Oct 2024,Desktop
Snapdragon X Elite   X1E001DE   Qualcomm Adreno GP,,"3,246",,347,,,,Sep 2024,Desktop
Ryzen 9 9900X 12 Core Processor,,"1,729",,599,,,,Sep 2024,Unknown
Ryzen 7 PRO 6850H with Radeon Graphics,,"5,791",,902,,,,Sep 2024,Unknown
Ryzen 7 9700X 8 Core Processor,,"2,251",,647,,,,Sep 2024,Unknown
Ryzen 5 9600X 6 Core Processor,,"1,859",,631,,,,Sep 2024,Unknown
Radeon Ryzen 5 PRO 5655GE,,"1,801",,644,,,,Sep 2024,Desktop
Radeon Ryzen 5 7600X3D 6 Core,,"1,827",,573,,,,Sep 2024,Desktop
Qualcomm Adreno X1 45 GPU,,"1,837",,362,,,,Sep 2024,Desktop
Intel UHD 770#0x1c005d839205d7e9#,,"1,759",,489,,,,Sep 2024,Desktop
Intel Arc 140V GPU,,"5,236",,669,,,,Sep 2024,Desktop
