cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
AMD A4-3400 APU,1,2,79.95,"1,086",13.58,"1,082",13.54,65,16.71,Sep 2011,FM1,Desktop
AMD A4-3420 APU,1,2,136.00,"1,054",7.75,"1,113",8.18,65,16.21,Jan 2012,FM1,Desktop
AMD A4-4000 APU,1,1,19.95,"1,145",57.40,"1,134",56.83,65,17.62,May 2013,FM2,Desktop
AMD A4-4020 APU,1,2,105.37,"1,268",12.04,"1,220",11.58,65,19.51,Jul 2014,FM2,Desktop
AMD A4-4300M APU,1,1,29.86,"1,000",33.48,"1,014",33.94,35,28.56,May 2012,FS1,Laptop
AMD A4-4355M APU,1,2,,806,,813,,17,47.41,Dec 2012,FP2,Laptop
AMD A4-5000 APU,1,4,,"1,297",,508,,15,86.44,Aug 2013,FT3,Laptop
AMD A4-5050 APU,1,4,,"1,328",,538,,13.5,98.37,May 2017,FT3,Laptop
AMD A4-5100 APU,1,4,,"1,346",,540,,15,89.72,Jul 2015,FT3,Laptop
AMD A4-5150M APU,1,2,,765,,800,,35,21.85,Jul 2013,FS1r2,Laptop
AMD A4-5300 APU,1,2,26.95,"1,365",50.63,"1,336",49.57,65,20.99,Oct 2012,FM2,Desktop
AMD A4-5300B APU,1,2,25.95,"1,243",47.89,"1,233",47.51,65,19.12,Dec 2012,FM2,Desktop
AMD A4-6210 APU,1,4,,"1,501",,610,,15,100.05,Jul 2014,FT3b,Laptop
AMD A4-6250J APU,1,4,,"1,671",,695,,25,66.83,Dec 2014,Unknown,"Laptop, Mobile/Embedded"
AMD A4-6300 APU,1,1,42.02,"1,426",33.93,"1,403",33.39,65,21.93,Nov 2013,FM2,Desktop
AMD A4-6300B APU,1,1,27.95,"1,328",47.51,"1,373",49.12,65,20.43,Dec 2013,Unknown,Desktop
AMD A4-6320 APU,1,1,69.99,"1,530",21.86,"1,529",21.84,65,23.54,Apr 2014,FM2,Desktop
AMD A4-7210 APU,1,4,,"1,656",,725,,25,66.24,Jul 2015,BGA,Laptop
AMD A4-7300 APU,1,1,18.47,"1,529",82.79,"1,477",79.96,65,23.52,Sep 2014,FM2,Desktop
AMD A4-9120,1,2,,"1,224",,"1,046",,15,81.62,Sep 2017,BGA,Laptop
AMD A4-9120C,1,2,,852,,891,,6,141.93,Aug 2019,FT4,Laptop
AMD A4-9120e,1,2,,849,,743,,,,Jun 2019,FT4,Laptop
